,ID,Name,global_id,IsNetObject,OperatingCompany,TypeService,TypeObject,AdmArea,District,Address,PublicPhone,WorkingHours
10,36641,АКАДЕМКНИГА,637631016,нет,,реализация непродовольственных товаров,Магазин «Книги»,Юго-Западный административный округ,Академический район,"город Москва, улица Вавилова, дом 55/7",(499) 125-30-38,"Часы работы: 10:00-19:00
День недели: понедельник

Часы работы: 10:00-19:00
День недели: вторник

Часы работы: 10:00-19:00
День недели: среда

Часы работы: 10:00-19:00
День недели: четверг

Часы работы: 10:00-19:00
День недели: пятница

Часы работы: 10:00-19:00
День недели: суббота

Часы работы: выходной
День недели: воскресенье"
11,133340,Печать,637632039,нет,,реализация непродовольственных товаров,Прочие специализированные непродовольственные предприятия торговли,Восточный административный округ,район Перово,"город Москва, 3-я Владимирская улица, дом 27",нет телефона,"Часы работы: 09:00-21:00
День недели: понедельник

Часы работы: 09:00-21:00
День недели: вторник

Часы работы: 09:00-21:00
День недели: среда

Часы работы: 09:00-21:00
День недели: четверг

Часы работы: 09:00-21:00
День недели: пятница

Часы работы: 09:00-21:00
День недели: суббота

Часы работы: 09:00-21:00
День недели: воскресенье"
12,33732,ФИЛАДЕЛЬФИЯ,637632215,нет,,реализация непродовольственных товаров,Магазин «Книги»,Центральный административный округ,Таганский район,"город Москва, Волгоградский проспект, дом 17, строение 1",(495) 676-49-83,"Часы работы: 10:00-19:00
День недели: понедельник

Часы работы: 10:00-19:00
День недели: вторник

Часы работы: 10:00-19:00
День недели: среда

Часы работы: 10:00-19:00
День недели: четверг

Часы работы: 10:00-19:00
День недели: пятница

Часы работы: 10:00-19:00
День недели: суббота

Часы работы: 10:00-18:00
День недели: воскресенье"
13,34878,Читай город Новый книжный,637632269,да,Новый книжный,реализация непродовольственных товаров,Магазин «Книги»,Юго-Восточный административный округ,район Кузьминки,"город Москва, Волгоградский проспект, дом 78",(499) 177-23-00,"Часы работы: 09:00-21:00
День недели: понедельник

Часы работы: 09:00-21:00
День недели: вторник

Часы работы: 09:00-21:00
День недели: среда

Часы работы: 09:00-21:00
День недели: четверг

Часы работы: 09:00-21:00
День недели: пятница

Часы работы: 09:00-21:00
День недели: суббота

Часы работы: 09:00-21:00
День недели: воскресенье"
14,32911,ЛАКВЕСТ,637632361,нет,,реализация непродовольственных товаров,Магазин «Книги»,Северный административный округ,Войковский район,"город Москва, улица Космонавта Волкова, дом 7",(499) 150-04-72,"Часы работы: 10:00-19:00
День недели: понедельник

Часы работы: 10:00-19:00
День недели: вторник

Часы работы: 10:00-19:00
День недели: среда

Часы работы: 10:00-19:00
День недели: четверг

Часы работы: 10:00-19:00
День недели: пятница

Часы работы: 10:00-19:00
День недели: суббота

Часы работы: выходной
День недели: воскресенье"
15,142222,Дом книги,637633216,да,Дом книги,реализация непродовольственных товаров,Магазин «Книги»,Центральный административный округ,Тверской район,"город Москва, Тверская улица, дом 8, корпус 1",(495) 629-64-83,"Часы работы: 10:00-01:00
День недели: понедельник

Часы работы: 10:00-01:00
День недели: вторник

Часы работы: 10:00-01:00
День недели: среда

Часы работы: 10:00-01:00
День недели: четверг

Часы работы: 10:00-01:00
День недели: пятница

Часы работы: 10:00-01:00
День недели: суббота

Часы работы: 10:00-01:00
День недели: воскресенье"
16,33315,РЕСПУБЛИКА,637633359,да,Республика,реализация непродовольственных товаров,Магазин «Книги»,Центральный административный округ,Тверской район,"город Москва, 1-я Тверская-Ямская улица, дом 10",(499) 251-65-27,"Часы работы: круглосуточно
День недели: понедельник

Часы работы: круглосуточно
День недели: вторник

Часы работы: круглосуточно
День недели: среда

Часы работы: круглосуточно
День недели: четверг

Часы работы: круглосуточно
День недели: пятница

Часы работы: круглосуточно
День недели: суббота

Часы работы: круглосуточно
День недели: воскресенье"
17,103167,Магазин «Книги»,637633423,нет,,реализация непродовольственных товаров,Магазин «Книги»,Юго-Восточный административный округ,район Текстильщики,"город Москва, Грайвороновская улица, дом 14, корпус 1",(903) 577-25-85,"Часы работы: 10:00-20:00
День недели: понедельник

Часы работы: 10:00-20:00
День недели: вторник

Часы работы: 10:00-20:00
День недели: среда

Часы работы: 10:00-20:00
День недели: четверг

Часы работы: 10:00-20:00
День недели: пятница

Часы работы: 10:00-20:00
День недели: суббота

Часы работы: 10:00-20:00
День недели: воскресенье"
18,35654,Магазин «КНИГИ»,637633634,нет,,реализация непродовольственных товаров,Магазин «Книги»,Центральный административный округ,Пресненский район,"город Москва, Грузинский переулок, дом 6",(499) 256-45-43,"Часы работы: 09:00-21:00
День недели: понедельник

Часы работы: 09:00-21:00
День недели: вторник

Часы работы: 09:00-21:00
День недели: среда

Часы работы: 09:00-21:00
День недели: четверг

Часы работы: 09:00-21:00
День недели: пятница

Часы работы: 09:00-21:00
День недели: суббота

Часы работы: 09:00-21:00
День недели: воскресенье"
19,38062,Читай-город на Тимирязевской,637633908,да,Читай-город,реализация непродовольственных товаров,Магазин «Книги»,Северный административный округ,Тимирязевский район,"город Москва, Дмитровское шоссе, дом 15, корпус 1",(495) 977-74-44,"Часы работы: 09:00-22:00
День недели: понедельник

Часы работы: 09:00-22:00
День недели: вторник

Часы работы: 09:00-22:00
День недели: среда

Часы работы: 09:00-22:00
День недели: четверг

Часы работы: 09:00-22:00
День недели: пятница

Часы работы: 09:00-22:00
День недели: суббота

Часы работы: 09:00-22:00
День недели: воскресенье"
20,38158,УЗНАЙ-КА,637633915,нет,,реализация непродовольственных товаров,Магазин «Книги»,Северный административный округ,Тимирязевский район,"город Москва, Дмитровское шоссе, дом 25, корпус 1",(499) 976-48-60,"Часы работы: 10:00-20:00
День недели: понедельник

Часы работы: 10:00-20:00
День недели: вторник

Часы работы: 10:00-20:00
День недели: среда

Часы работы: 10:00-20:00
День недели: четверг

Часы работы: 10:00-20:00
День недели: пятница

Часы работы: 10:00-20:00
День недели: суббота

Часы работы: 10:00-20:00
День недели: воскресенье"
21,40324,МАГАЗИН КАНЦТОВАРОВ,637634571,нет,,реализация непродовольственных товаров,Магазин «Книги»,Западный административный округ,район Раменки,"город Москва, улица Дружбы, дом 10/32",нет телефона,"Часы работы: 10:00-20:00
День недели: понедельник

Часы работы: 10:00-20:00
День недели: вторник

Часы работы: 10:00-20:00
День недели: среда

Часы работы: 10:00-20:00
День недели: четверг

Часы работы: 10:00-20:00
День недели: пятница

Часы работы: 10:00-20:00
День недели: суббота

Часы работы: 10:00-20:00
День недели: воскресенье"
22,69882,Канцтовары,637634593,нет,,реализация непродовольственных товаров,Магазин «Книги»,Северный административный округ,район Восточное Дегунино,"город Москва, Дубнинская улица, дом 4, корпус 1",(916) 958-30-19,"Часы работы: 09:00-21:00
День недели: понедельник

Часы работы: 09:00-21:00
День недели: вторник

Часы работы: 09:00-21:00
День недели: среда

Часы работы: 09:00-21:00
День недели: четверг

Часы работы: 09:00-21:00
День недели: пятница

Часы работы: 09:00-21:00
День недели: суббота

Часы работы: 09:00-21:00
День недели: воскресенье"
23,38980,КАНЦЕЛЯРСКОЕ ДЕЛО,637634721,нет,,реализация непродовольственных товаров,Магазин «Книги»,Центральный административный округ,Басманный район,"город Москва, Яковоапостольский переулок, дом 9, строение 1",(499) 626-80-53,"Часы работы: 10:00-20:00
День недели: понедельник

Часы работы: 10:00-20:00
День недели: вторник

Часы работы: 10:00-20:00
День недели: среда

Часы работы: 10:00-20:00
День недели: четверг

Часы работы: 10:00-20:00
День недели: пятница

Часы работы: 10:00-20:00
День недели: суббота

Часы работы: 10:00-20:00
День недели: воскресенье"
24,37640,ДОМ КНИГИ МЕДВЕДКОВО,637637315,нет,,реализация непродовольственных товаров,Магазин «Книги»,Северо-Восточный административный округ,район Северное Медведково,"город Москва, Заревый проезд, дом 12",(499) 473-00-23,"Часы работы: 10:00-19:00
День недели: понедельник

Часы работы: 10:00-19:00
День недели: вторник

Часы работы: 10:00-19:00
День недели: среда

Часы работы: 10:00-19:00
День недели: четверг

Часы работы: 10:00-19:00
День недели: пятница

Часы работы: 10:00-19:00
День недели: суббота

Часы работы: 10:00-19:00
День недели: воскресенье"
